,date,length,commonlength,maxder,dcar,speed,weight,load,curve,profile,type,twoways,exit,my_predict
61,3,66.0,69.0,57.0,26,70.0,5595.0,0.8952569169960476,0.0,0.001,0,1.0,1.0,0.9987326561361013
62,3,68.0,72.0,45.0,1,42.0,5766.0,0.8955669224211424,0.0014792899408284023,1.4663793103448243e-05,0,1.0,0.0,0.1623699636805443
64,3,100.0,103.0,57.0,1,65.0,4167.0,0.2705797101449276,0.0014097119072021733,1.4663793103448243e-05,0,1.0,0.0,0.020344511264364235
65,3,69.0,72.0,6.0,1,59.0,6223.0,0.9737450115521951,0.0,0.0001,0,1.0,1.0,0.17411359979335098
66,3,46.0,48.0,39.0,3,58.0,3947.0,0.9102079395085068,0.0,0.0086,0,1.0,1.0,0.418271915783482
68,4,82.0,84.0,22.0,1,71.0,2138.0,0.044538706256627814,0.0005543237250554324,1.4663793103448243e-05,0,1.0,0.0,0.02914000457906617
69,4,65.0,67.0,34.51923076923077,1,62.0,6008.0,1.006243032329989,0.0015873015873015873,-0.0104,0,1.0,0.0,0.19728338957829228
70,4,16.0,18.0,3.0,1,17.0,1016.0,0.5869565217391304,0.0016666666666666668,-0.0036,0,1.0,0.0,0.440396193456018
71,5,73.0,75.0,56.0,1,69.0,2165.0,0.09648600357355569,0.000925925925925926,1.4663793103448243e-05,0,1.0,0.0,0.04715347157103054
72,5,97.0,100.0,73.0,1,70.0,2449.0,0.03257134319438221,0.0010309278350515464,0.0091,0,1.0,0.0,0.014322793060293985
73,5,62.0,64.0,48.0,1,75.0,2362.0,0.21879382889200566,0.0009149130832570906,0.0009,0,1.0,0.0,0.08745061189099587
74,6,63.0,65.0,30.0,1,15.0,2120.0,0.15435932827237175,0.002967359050445104,1.4663793103448243e-05,0,1.0,0.0,0.0777577465485446
79,8,65.0,67.0,2.0,2,65.0,4883.0,0.7554069119286511,0.0,1.4663793103448243e-05,0,1.0,0.0,0.19553539814995557
82,9,89.0,92.0,19.0,1,70.0,5919.0,0.6305162025728708,0.001564945226917058,0.0015,0,1.0,0.0,0.06054495367392298
83,9,64.0,68.0,23.0,5,16.0,5852.0,0.9918478260869565,0.004901960784313725,0.0074,0,1.0,1.0,0.48111617161579767
84,9,83.0,85.0,67.0,1,67.0,2162.0,0.04417670682730923,0.0009523809523809524,0.0013,0,1.0,0.0,0.027829352778156357
85,11,77.0,79.0,22.0,1,74.0,3442.0,0.31451157538114066,0.0011723329425556857,-0.0034,0,1.0,0.0,0.05533872874642813
88,12,65.0,69.0,30.0,1,50.0,5811.0,0.9623188405797103,0.0,-0.0079,0,1.0,0.0,0.187992677914465
89,1,53.0,55.0,3.0,1,55.0,4017.0,0.76510801203172,0.001095290251916758,1.4663793103448243e-05,0,1.0,0.0,0.20564046644243572
91,1,62.0,68.0,68.0,1,50.380132450331125,5835.0,1.030621785881253,0.003389830508474576,0.0065,0,1.0,0.0,0.21553435390559458
92,1,55.0,57.0,53.0,1,63.0,4094.0,0.7454545454545456,0.00125,0.0039,0,1.0,0.0,0.19195586501191483
93,2,62.0,64.0,6.0,2,14.0,4139.0,0.634174848059841,0.007042253521126761,-0.0038,0,1.0,0.0,0.186012762674189
94,2,62.0,64.0,56.0,1,71.0,1966.0,0.12622720897615708,0.0010471204188481676,0.0045,0,1.0,0.0,0.0783293035947557
95,2,89.0,93.0,74.0,1,54.0,2984.0,0.15258101286435438,0.001092896174863388,1.4663793103448243e-05,0,1.0,0.0,0.025780062651223085
96,2,55.0,58.0,22.0,1,50.0,4774.0,0.9246376811594204,0.0014097119072021733,1.4663793103448243e-05,0,1.0,1.0,0.22598511704532998
97,3,43.0,45.0,20.0,1,57.0,3716.0,0.9191102123356927,0.0,0.0013,0,1.0,1.0,0.2898300434746453
98,4,70.0,72.0,12.0,1,11.0,3744.0,0.4418219461697723,0.0015503875968992248,-0.0071,0,1.0,0.0,0.08602033642494147
